"Serie","Periodo","Materiales|Total","Materiales|Biomasa","Materiales|Combustibles_fósiles","Materiales|Minerales_metálicos","Materiales|Minerales_no_metálicos",
"Extracción_doméstica_de_materiales","2024","27,802,233,932","961,590,518","102,153,186","28,068,827","26,710,421,401",
"Extracción_doméstica_de_materiales","2023","25,385,882,785","1,051,339,031","109,549,766","26,506,145","24,198,487,843",
"Extracción_doméstica_de_materiales","2022","24,702,717,476","1,172,815,735","113,045,074","21,248,779","23,395,607,888",
"Extracción_doméstica_de_materiales","2021","14,839,009,726","1,178,810,703","112,709,201","28,198,068","13,519,291,754",
"Extracción_doméstica_de_materiales","2020","12,852,774,797","1,167,987,887","111,731,820","20,522,005","11,552,533,085",
"Extracción_doméstica_de_materiales","2019","5,138,236,073","1,212,227,118","136,429,224","19,427,445","3,770,152,286",
"Extracción_doméstica_de_materiales","2018","2,915,439,573","999,495,692","120,154,144","15,849,612","1,779,940,125",
"Extracción_doméstica_de_materiales","2017","2,873,466,196","986,092,972","128,359,974","13,602,449","1,745,410,801",
"Extracción_doméstica_de_materiales","2016","2,433,671,386","920,407,498","143,125,287","14,081,157","1,356,057,444",
"Extracción_doméstica_de_materiales","2015","2,534,738,496","829,237,959","155,083,269","15,343,863","1,535,073,405",
"Extracción_doméstica_de_materiales","2014","2,249,613,172","911,263,844","162,951,070","18,311,700","1,157,086,558",
"Extracción_doméstica_de_materiales","2013","1,456,200,764","894,318,523","167,729,363","20,448,068","373,704,810",
"Extracción_doméstica_de_materiales","2012","1,415,788,020","871,227,841","169,092,088","16,618,154","358,849,937",
"Extracción_doméstica_de_materiales","2011","1,410,500,541","890,771,128","171,419,791","14,308,083","334,001,539",
"Extracción_doméstica_de_materiales","2010","1,423,223,221","885,157,382","179,680,771","15,244,404","343,140,664",
"Extracción_doméstica_de_materiales","2009","1,413,450,795","883,679,293","181,411,352","12,544,010","335,816,140",
"Extracción_doméstica_de_materiales","2008","1,378,455,569","839,596,619","192,045,750","12,658,273","334,154,927",
"Extracción_doméstica_de_materiales","2007","1,391,749,566","852,256,390","202,464,775","8,360,018","328,668,383",
"Extracción_doméstica_de_materiales","2006","1,309,702,185","777,959,971","208,406,413","7,624,287","315,711,514",
"Extracción_doméstica_de_materiales","2005","1,292,359,541","804,047,731","209,991,844","8,098,840","270,221,126",
"Extracción_doméstica_de_materiales","2004","1,336,381,965","832,627,187","211,397,373","8,059,096","284,298,309",
"Extracción_doméstica_de_materiales","2003","1,260,384,992","794,541,340","210,114,148","7,766,664","247,962,840",
