"Serie","Periodo","PIB|Total","PIB|Biomasa","PIB|Combustibles_fósiles","PIB|Minerales_metálicos","PIB|Minerales_no_metálicos",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2024","25,365,220,650,000","25,365,220,650,000","25,365,220,650,000","25,365,220,650,000","25,365,220,650,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2023","25,027,209,092,000","25,027,209,092,000","25,027,209,092,000","25,027,209,092,000","25,027,209,092,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2022","24,273,093,494,000","24,273,093,494,000","24,273,093,494,000","24,273,093,494,000","24,273,093,494,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2021","23,404,831,113,000","23,404,831,113,000","23,404,831,113,000","23,404,831,113,000","23,404,831,113,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2020","22,069,934,760,000","22,069,934,760,000","22,069,934,760,000","22,069,934,760,000","22,069,934,760,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2019","24,081,730,885,000","24,081,730,885,000","24,081,730,885,000","24,081,730,885,000","24,081,730,885,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2018","24,176,670,374,000","24,176,670,374,000","24,176,670,374,000","24,176,670,374,000","24,176,670,374,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2017","23,709,107,314,000","23,709,107,314,000","23,709,107,314,000","23,709,107,314,000","23,709,107,314,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2016","23,273,490,747,000","23,273,490,747,000","23,273,490,747,000","23,273,490,747,000","23,273,490,747,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2015","22,868,154,259,000","22,868,154,259,000","22,868,154,259,000","22,868,154,259,000","22,868,154,259,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2014","22,266,442,955,000","22,266,442,955,000","22,266,442,955,000","22,266,442,955,000","22,266,442,955,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2013","21,722,561,391,000","21,722,561,391,000","21,722,561,391,000","21,722,561,391,000","21,722,561,391,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2012","21,539,027,006,000","21,539,027,006,000","21,539,027,006,000","21,539,027,006,000","21,539,027,006,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2011","20,799,960,569,000","20,799,960,569,000","20,799,960,569,000","20,799,960,569,000","20,799,960,569,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2010","20,107,450,900,000","20,107,450,900,000","20,107,450,900,000","20,107,450,900,000","20,107,450,900,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2009","19,155,182,679,000","19,155,182,679,000","19,155,182,679,000","19,155,182,679,000","19,155,182,679,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2008","20,442,061,681,000","20,442,061,681,000","20,442,061,681,000","20,442,061,681,000","20,442,061,681,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2007","20,251,027,288,000","20,251,027,288,000","20,251,027,288,000","20,251,027,288,000","20,251,027,288,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2006","19,838,803,936,000","19,838,803,936,000","19,838,803,936,000","19,838,803,936,000","19,838,803,936,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2005","18,929,250,871,000","18,929,250,871,000","18,929,250,871,000","18,929,250,871,000","18,929,250,871,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2004","18,537,507,526,000","18,537,507,526,000","18,537,507,526,000","18,537,507,526,000","18,537,507,526,000",
"PIB_a_precios_de_mercado._Pesos_a_precios_de_2018.","2003","17,899,317,905,000","17,899,317,905,000","17,899,317,905,000","17,899,317,905,000","17,899,317,905,000",
