"Serie","Periodo","Materiales|Total","Materiales|Biomasa","Materiales|Combustibles_fósiles","Materiales|Minerales_metálicos","Materiales|Minerales_no_metálicos",
"Consumo_material_interno_por_PIB","2024","1.0968367","0.040463151","0.002190706","0.001119983","1.05306286",
"Consumo_material_interno_por_PIB","2023","1.014908604","0.044379091","0.002446721","0.001181023","0.966901768",
"Consumo_material_interno_por_PIB","2022","1.018065298","0.050695936","0.002684572","0.000863977","0.963820813",
"Consumo_material_interno_por_PIB","2021","0.633768619","0.052340259","0.002674619","0.001160377","0.577593364",
"Consumo_material_interno_por_PIB","2020","0.580951894","0.054376641","0.002501007","0.000863649","0.523210597",
"Consumo_material_interno_por_PIB","2019","0.212047597","0.051633322","0.00333877","0.000826032","0.156249472",
"Consumo_material_interno_por_PIB","2018","0.119548228","0.04299398","0.002564869","0.000674839","0.073314539",
"Consumo_material_interno_por_PIB","2017","0.120287034","0.043016626","0.003132005","0.00055711","0.073581293",
"Consumo_material_interno_por_PIB","2016","0.103568319","0.040840507","0.003875085","0.000659114","0.058193613",
"Consumo_material_interno_por_PIB","2015","0.109669155","0.037541732","0.004412928","0.000660026","0.06705447",
"Consumo_material_interno_por_PIB","2014","0.099734478","0.042008511","0.004902915","0.000715313","0.052107739",
"Consumo_material_interno_por_PIB","2013","0.065140118","0.042329202","0.005095359","0.00049003","0.017225528",
"Consumo_material_interno_por_PIB","2012","0.063930639","0.041650667","0.005011264","0.000568229","0.016700478",
"Consumo_material_interno_por_PIB","2011","0.066195669","0.044417915","0.004992182","0.000482561","0.016303011",
"Consumo_material_interno_por_PIB","2010","0.068551787","0.045385371","0.005419317","0.000603882","0.017143216",
"Consumo_material_interno_por_PIB","2009","0.071700089","0.047507485","0.006071684","0.000575237","0.017545683",
"Consumo_material_interno_por_PIB","2008","0.065146825","0.042327527","0.005702505","0.000720912","0.016395881",
"Consumo_material_interno_por_PIB","2007","0.065561294","0.04332604","0.005483666","0.000489058","0.016262531",
"Consumo_material_interno_por_PIB","2006","0.06265022","0.040441786","0.005688658","0.000506205","0.01601357",
"Consumo_material_interno_por_PIB","2005","0.064470771","0.043628241","0.005983952","0.000560759","0.014297819",
"Consumo_material_interno_por_PIB","2004","0.068199203","0.04618277","0.006107777","0.00056495","0.015343707",
"Consumo_material_interno_por_PIB","2003","0.066438964","0.045626659","0.006329909","0.000592425","0.013889972",
