"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	00,"Estados_Unidos_Mexicanos","2024","53.03","54.3","50.82",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	01,"Aguascalientes","2024","53.67","54.84","51.78",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	010010001,"Aguascalientes","2024","57.89","60.23","54.44",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	02,"Baja_California","2024","72.95","74.94","69.69",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	020010001,"Ensenada","2024","ND","ND","ND",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	020020001,"Mexicali","2024","80","82.48","76.22",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	020040001,"Tijuana","2024","73.94","75.26","71.72",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	03,"Baja_California_Sur","2024","78","80.92","72.91",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	030030001,"La_Paz","2024","80.38","83.3","76.08",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	04,"Campeche","2024","50.91","51.14","50.45",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	040020001,"Campeche","2024","51.45","51.39","51.54",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	040030001,"Ciudad_del_Carmen","2024","68.39","71.04","63.96",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	05,"Coahuila_de_Zaragoza","2024","60.97","62.81","57.57",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	050300001,"Saltillo","2024","68.04","70.68","63.19",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	050350001,"Torreón","2024","58.37","60","55.84",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	06,"Colima","2024","60.84","63.59","56.69",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	060020001,"Colima","2024","66.04","67.39","64.15",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	07,"Chiapas","2024","34.56","33.85","36.32",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	070890001,"Tapachula","2024","45.91","46.3","45.35",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	071010001,"Tuxtla_Gutiérrez","2024","48.46","48.9","47.75",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	08,"Chihuahua","2024","65.96","67.44","63.62",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	080190001,"Chihuahua","2024","70.92","73.39","67.44",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	080370001,"Juárez","2024","72.48","75.39","68.02",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	09,"Ciudad_de_México","2024","75.1","78.3","70.87",
"Ingreso_medio_por_hora_de_empleadas_y_empleados",	090019013,"Zona_Metropolitana_del_Valle_de_México","2024","61.07","62.62","58.79",
