"Serie","cvegeo","Entidad_federativa","Periodo","Sexo|Total_Grupo_de_edad|Total","Sexo|Total_Grupo_de_edad|De_15_a_24_años","Sexo|Total_Grupo_de_edad|De_25_a_64_años","Sexo|Total_Grupo_de_edad|De_65_años_y_más","Sexo|Hombres_Grupo_de_edad|Total","Sexo|Hombres_Grupo_de_edad|De_15_a_24_años","Sexo|Hombres_Grupo_de_edad|De_25_a_64_años","Sexo|Hombres_Grupo_de_edad|De_65_años_y_más","Sexo|Mujeres_Grupo_de_edad|Total","Sexo|Mujeres_Grupo_de_edad|De_15_a_24_años","Sexo|Mujeres_Grupo_de_edad|De_25_a_64_años","Sexo|Mujeres_Grupo_de_edad|De_65_años_y_más",
"Población_económicamente_activa",	00,"Estados_Unidos_Mexicanos","2020","53,584,164","8,425,131","42,413,312","2,711,611","32,818,904","5,423,392","25,523,701","1,850,869","20,765,260","3,001,740","16,889,611","860,742",
"Población_económicamente_activa",	01,"Aguascalientes","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	02,"Baja_California","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	03,"Baja_California_Sur","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	04,"Campeche","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	05,"Coahuila_de_Zaragoza","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	06,"Colima","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	07,"Chiapas","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	08,"Chihuahua","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	09,"Ciudad_de_México","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	10,"Durango","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	11,"Guanajuato","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	12,"Guerrero","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	13,"Hidalgo","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
"Población_económicamente_activa",	14,"Jalisco","2020","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND",
