"Periodo","Producto_Interno_Bruto_directo_turístico",
"2024","2,713,120",
"2023","2,558,578",
"2022","2,437,507",
"2021","1,957,233",
"2020","1,566,112",
"2019","2,038,544",
"2018","1,953,311",
"2017","1,809,832",
"2016","1,648,137",
"2015","1,604,825",
"2014","1,536,800",
"2013","1,467,912",
"2012","1,387,398",
"2011","1,270,875",
"2010","1,190,372",
"2009","1,120,976",
"2008","1,119,868",
"2007","1,065,252",
"2006","1,010,883",
"2005","923,307",
"2004","871,939",
"2003","780,704",
"2002","706,636",
"2001","679,294",
"2000","638,798",
"1999","537,332",
"1998","445,688",
"1997","366,597",
"1996","305,360",
"1995","233,374",
"1994","190,603",
"1993","172,420",
