"Periodo","Producto_Interno_Bruto_total",
"2024","31,331,232",
"2023","29,952,318",
"2022","28,106,075",
"2021","25,109,421",
"2020","22,617,654",
"2019","23,692,121",
"2018","22,873,646",
"2017","21,324,106",
"2016","19,500,424",
"2015","18,157,884",
"2014","17,234,933",
"2013","16,319,823",
"2012","16,046,850",
"2011","14,762,356",
"2010","13,424,767",
"2009","12,245,033",
"2008","12,612,096",
"2007","11,609,423",
"2006","10,719,325",
"2005","9,603,895",
"2004","8,858,031",
"2003","7,866,315",
"2002","7,444,100",
"2001","7,085,857",
"2000","6,705,660",
"1999","5,739,019",
"1998","4,854,758",
"1997","3,969,265",
"1996","3,162,150",
"1995","2,347,339",
"1994","1,786,148",
"1993","1,585,848",
