"Periodo","PIB_directo_turístico_como_proporción_del_PIB_total_y_en_tasas_de_crecimiento",
"2024","8.659",
"2023","8.542",
"2022","8.673",
"2021","7.795",
"2020","6.924",
"2019","8.604",
"2018","8.54",
"2017","8.487",
"2016","8.452",
"2015","8.838",
"2014","8.917",
"2013","8.995",
"2012","8.646",
"2011","8.609",
"2010","8.867",
"2009","9.155",
"2008","8.879",
"2007","9.176",
"2006","9.43",
"2005","9.614",
"2004","9.843",
"2003","9.925",
"2002","9.493",
"2001","9.587",
"2000","9.526",
"1999","9.363",
"1998","9.18",
"1997","9.236",
"1996","9.657",
"1995","9.942",
"1994","10.671",
"1993","10.872",
