"Periodo","Valor_agregado_por_manufactura_real",
"2024","5,213,977.591",
"2023","5,216,800.193",
"2022","5,143,921.445",
"2021","4,870,604.091",
"2020","4,478,138.34",
"2019","4,878,930.555",
"2018","4,881,116.395",
"2017","4,815,818.145",
"2016","4,695,293.552",
"2015","4,653,000.414",
"2014","4,498,392.393",
"2013","4,326,571.763",
"2012","4,346,735.645",
"2011","4,147,264.773",
"2010","4,013,683.523",
"2009","3,734,717.436",
"2008","4,167,885.544",
"2007","4,234,785.395",
"2006","4,220,948.192",
"2005","4,016,091.477",
"2004","3,929,305.536",
"2003","3,833,040.927",
