"Periodo","Producto_Interno_Bruto_real",
"2024","25,365,220.65",
"2023","25,027,209.092",
"2022","24,273,093.494",
"2021","23,404,831.113",
"2020","22,069,934.76",
"2019","24,081,730.885",
"2018","24,176,670.374",
"2017","23,709,107.314",
"2016","23,273,490.747",
"2015","22,868,154.259",
"2014","22,266,442.955",
"2013","21,722,561.391",
"2012","21,539,027.006",
"2011","20,799,960.569",
"2010","20,107,450.9",
"2009","19,155,182.679",
"2008","20,442,061.681",
"2007","20,251,027.288",
"2006","19,838,803.936",
"2005","18,929,250.871",
"2004","18,537,507.526",
"2003","17,899,317.905",
