"Periodo","Valor_agregado_por_manufactura_como_proporción_del_PIB",
"2024","20.5556169329045",
"2023","20.8445143596437",
"2022","21.1918659905113",
"2021","20.8102509583787",
"2020","20.2906732108528",
"2019","20.2598832214298",
"2018","20.189365696317",
"2017","20.3121023546775",
"2016","20.1744276483545",
"2015","20.3470746318268",
"2014","20.2025640201767",
"2013","19.9174106824832",
"2012","20.1807428153052",
"2011","19.9388107455407",
"2010","19.9611753024348",
"2009","19.4971642849139",
"2008","20.3887729576409",
"2007","20.9114596251094",
"2006","21.2762231312774",
"2005","21.2163254867774",
"2004","21.1965148523279",
"2003","21.4144524799421",
