"Periodo","Valor_agregado_por_manufactura_per_cápita",
"2024","40,099.63541707",
"2023","40,340.9508734804",
"2022","40,004.958738579",
"2021","38,166.3275103991",
"2020","35,432.9846193394",
"2019","38,351.648884187",
"2018","38,740.3026647907",
"2017","38,595.3461503359",
"2016","37,991.6826962799",
"2015","38,024.4980877022",
"2014","37,161.8692356006",
"2013","36,176.0588",
"2012","36,817.86143",
"2011","35,615.2926",
"2010","34,975.7874",
"2009","33,041.76089",
"2008","37,455.41471",
"2007","38,660.18812",
"2006","39,124.27972",
"2005","37,755.52961",
"2004","37,432.44534",
"2003","37,002.79",
