"Serie","Periodo","Sexo|Total","Sexo|Hombres","Sexo|Mujeres",
"Población_ocupada_en_la_industria_manufacturera","2020","8,409,564","5,186,082","3,223,482",
"Población_ocupada_en_la_industria_manufacturera","2019","9,112,885","5,709,872","3,403,013",
"Población_ocupada_en_la_industria_manufacturera","2018","8,940,657","5,571,052","3,369,606",
"Población_ocupada_en_la_industria_manufacturera","2017","8,691,338","5,437,015","3,254,323",
"Población_ocupada_en_la_industria_manufacturera","2016","8,411,674","5,277,444","3,134,230",
"Población_ocupada_en_la_industria_manufacturera","2015","8,115,912","5,132,848","2,983,064",
"Población_ocupada_en_la_industria_manufacturera","2014","7,888,379","5,013,773","2,874,605",
"Población_ocupada_en_la_industria_manufacturera","2013","7,710,812","4,863,713","2,847,099",
"Población_ocupada_en_la_industria_manufacturera","2012","7,442,989","4,707,333","2,735,656",
"Población_ocupada_en_la_industria_manufacturera","2011","7,212,161","4,572,632","2,639,529",
"Población_ocupada_en_la_industria_manufacturera","2010","7,085,997","4,475,482","2,610,515",
"Población_ocupada_en_la_industria_manufacturera","2009","6,834,801","4,251,026","2,583,774",
"Población_ocupada_en_la_industria_manufacturera","2008","7,161,091","4,428,857","2,732,234",
"Población_ocupada_en_la_industria_manufacturera","2007","7,306,290","4,491,352","2,814,938",
"Población_ocupada_en_la_industria_manufacturera","2006","7,280,574","4,432,737","2,847,837",
"Población_ocupada_en_la_industria_manufacturera","2005","7,059,370","4,330,818","2,728,552",
"Población_ocupada_en_la_industria_manufacturera","2004","6,964,212","4,373,448","2,590,764",
"Población_ocupada_en_la_industria_manufacturera","2003","6,851,828","4,272,777","2,579,051",
"Población_ocupada_en_la_industria_manufacturera","2002","6,870,661","4,276,285","2,594,376",
"Población_ocupada_en_la_industria_manufacturera","2001","7,105,346","4,401,353","2,703,993",
"Población_ocupada_en_la_industria_manufacturera","2000","7,373,773","4,590,600","2,783,173",
"Población_ocupada_en_la_industria_manufacturera","1999","7,037,669","4,502,168","2,535,501",
"Población_ocupada_en_la_industria_manufacturera","1998","6,680,325","4,297,466","2,382,859",
"Población_ocupada_en_la_industria_manufacturera","1997","6,004,754","3,895,978","2,108,776",
"Población_ocupada_en_la_industria_manufacturera","1996","5,575,244","3,710,753","1,864,491",
"Población_ocupada_en_la_industria_manufacturera","1995","5,029,753","3,522,092","1,507,661",
