"Periodo","PIB_a_precios_constantes_base_2015_expresado_en_Paridad_de_Poder_de_Compra_(dólares)",
"2021","2,352,699,400,000 a/ ",
"2020","2,225,001,905,000",
"2019","2,435,010,765,000",
"2018","2,441,146,239,000",
"2017","2,393,935,858,000",
"2016","2,349,951,152,000",
"2015","2,309,023,860,000",
"2014","2,248,268,377,000",
"2013","2,193,352,030,000",
"2012","2,174,820,352,000",
"2011","2,100,195,963,000",
"2010","2,030,272,464,000",
"2009","1,934,120,846,000",
"2008","2,064,058,500,000",
"2007","2,044,769,537,000",
"2006","2,003,146,871,000",
"2005","1,911,308,251,000",
"2004","1,871,753,474,000",
"2003","1,807,314,734,000",
"2002","1,786,139,251,000",
"2001","1,790,375,064,000",
"2000","1,798,483,441,000",
"1999","1,712,363,803,000",
"1998","1,666,452,529,000",
"1997","1,569,384,838,000",
"1996","1,463,993,742,000",
"1995","1,378,287,716,000",
"1994","1,464,865,666,000",
"1993","1,403,206,957,000",
"1992","1,358,309,585,000 b/ ",
"1991","1,310,747,047,000 b/ ",
"1990","1,257,646,076,000 b/ ",
