"Periodo","Emisiones_totales_(Kg_de_CO2e)",
"2021","714,047,264,077",
"2020","716,684,648,009",
"2019","759,501,321,623",
"2018","762,172,231,074",
"2017","757,106,355,123",
"2016","785,540,391,091",
"2015","745,778,832,344",
"2014","734,998,194,805",
"2013","735,453,189,173",
"2012","722,401,901,489",
"2011","737,876,950,895",
"2010","719,697,297,947",
"2009","721,705,013,634",
"2008","736,252,573,066",
"2007","687,425,944,443",
"2006","653,275,452,893",
"2005","636,926,158,852",
"2004","626,816,973,878",
"2003","606,865,071,833",
"2002","606,421,941,126",
"2001","583,999,137,329",
"2000","587,814,412,517",
"1999","569,142,308,308",
"1998","577,829,128,264",
"1997","551,984,372,815",
"1996","521,689,448,708",
"1995","503,565,251,632",
"1994","513,962,000,582",
"1993","483,660,291,603",
"1992","479,929,692,930",
"1991","477,528,929,130",
"1990","467,413,123,797",
