"Periodo","Emisiones_de_dióxido_de_carbono_total_por_residuos_(Kg_de_CO2e)",
"2021","63,817,737,337",
"2020","63,017,556,975",
"2019","54,257,549,114",
"2018","52,969,821,778",
"2017","51,901,558,259",
"2016","51,320,212,060",
"2015","50,504,641,430",
"2014","49,407,654,243",
"2013","47,745,083,870",
"2012","46,567,208,189",
"2011","45,760,024,270",
"2010","44,410,831,403",
"2009","42,617,122,013",
"2008","40,579,298,625",
"2007","38,585,313,099",
"2006","36,656,119,049",
"2005","34,854,408,353",
"2004","33,298,919,965",
"2003","32,756,430,185",
"2002","31,543,173,099",
"2001","30,292,267,090",
"2000","28,662,491,613",
"1999","27,526,923,530",
"1998","27,238,956,856",
"1997","25,901,883,152",
"1996","24,017,258,516",
"1995","22,677,946,462",
"1994","20,975,646,726",
"1993","19,395,395,919",
"1992","17,663,535,424",
"1991","16,189,109,508",
"1990","14,747,103,807",
