"Periodo","Emisiones_de_dióxido_de_carbono_total_por_agricultura,_silvicultura_y_otros_usos_de_la_tierra_(Kg_de_CO2e)",
"2021","135,058,075,507",
"2020","133,788,431,864",
"2019","140,807,236,345",
"2018","140,362,583,381",
"2017","134,900,553,060",
"2016","130,678,379,472",
"2015","134,064,784,860",
"2014","130,253,776,885",
"2013","134,986,984,613",
"2012","126,306,540,232",
"2011","134,991,937,418",
"2010","130,221,356,200",
"2009","126,136,429,567",
"2008","122,692,562,443",
"2007","119,802,730,892",
"2006","117,124,171,615",
"2005","116,683,634,710",
"2004","118,010,356,677",
"2003","117,016,682,116",
"2002","115,970,221,446",
"2001","112,430,440,777",
"2000","112,518,786,176",
"1999","110,489,623,619",
"1998","111,892,972,146",
"1997","109,944,592,811",
"1996","106,826,706,978",
"1995","114,104,309,417",
"1994","115,726,162,443",
"1993","109,852,852,492",
"1992","111,019,362,116",
"1991","112,352,192,732",
"1990","113,622,018,066",
