"Periodo","Emisiones_de_dióxido_de_carbono_total_por_procesos_industriales_y_uso_de_productos_(Kg_de_CO2e)",
"2021","70,579,007,376",
"2020","68,825,342,551",
"2019","73,672,413,543",
"2018","74,768,849,863",
"2017","70,978,705,995",
"2016","67,972,887,137",
"2015","66,910,445,924",
"2014","68,774,212,717",
"2013","65,101,664,828",
"2012","62,459,793,312",
"2011","62,059,844,432",
"2010","64,301,619,775",
"2009","56,959,482,407",
"2008","60,457,813,153",
"2007","57,941,957,104",
"2006","55,630,061,546",
"2005","51,969,301,507",
"2004","58,103,580,948",
"2003","48,637,041,554",
"2002","46,642,953,522",
"2001","47,907,367,598",
"2000","49,578,041,346",
"1999","48,125,683,502",
"1998","44,221,419,070",
"1997","43,860,366,775",
"1996","40,674,557,636",
"1995","36,026,252,600",
"1994","35,916,259,226",
"1993","33,118,051,201",
"1992","32,275,711,912",
"1991","31,324,834,171",
"1990","32,510,567,720",
