"Periodo","Emisiones_de_dióxido_de_carbono_total_por_energía_(Kg_de_CO2e)",
"2021","444,592,443,857",
"2020","451,053,316,620",
"2019","490,764,122,621",
"2018","494,070,976,052",
"2017","499,325,537,809",
"2016","535,568,912,421",
"2015","494,298,960,130",
"2014","486,562,550,961",
"2013","487,619,455,862",
"2012","487,068,359,756",
"2011","495,065,144,775",
"2010","480,763,490,569",
"2009","495,991,979,648",
"2008","512,522,898,845",
"2007","471,095,943,348",
"2006","443,865,100,682",
"2005","433,418,814,281",
"2004","417,404,116,290",
"2003","408,454,917,978",
"2002","412,265,593,058",
"2001","393,369,061,864",
"2000","397,055,093,382",
"1999","383,000,077,657",
"1998","394,475,780,191",
"1997","372,277,530,077",
"1996","350,170,925,578",
"1995","330,756,743,152",
"1994","341,343,932,187",
"1993","321,293,991,991",
"1992","318,971,083,479",
"1991","317,662,792,718",
"1990","306,533,434,203",
