"Periodo","Emisiones_de_dióxido_de_carbono_total_por_PIB_por_paridad_de_poder_de_compra",
"2021","0.303501273506234",
"2020","0.322105183999515",
"2019","0.311908814753408",
"2018","0.312218997328932",
"2017","0.316260083824977",
"2016","0.334279455307821",
"2015","0.322984463375634",
"2014","0.326917463379505",
"2013","0.335310145892708",
"2012","0.332166241144939",
"2011","0.351337191335622",
"2010","0.354483110374622",
"2009","0.37314370253907",
"2008","0.356701407962105",
"2007","0.336187493017866",
"2006","0.326124590438265",
"2005","0.333240940344688",
"2004","0.33488222812749",
"2003","0.335782728052942",
"2002","0.33951548894415",
"2001","0.326188154131466",
"2000","0.326838935025042",
"1999","0.332372307397815",
"1998","0.346742027275515",
"1997","0.351720215112209",
"1996","0.356346775086032",
"1995","0.365355684293349",
"1994","0.35085947640879",
"1993","0.344682079283005",
"1992","0.35332865072142",
"1991","0.364318142255394",
"1990","0.371657124143563",
