"Periodo","Valor_agregado_de_las_actividades_económicas_de_MHT",
"2024","4,565,220",
"2023","4,361,755",
"2022","4,251,793",
"2021","3,725,061",
"2020","3,235,206",
"2019","3,393,070",
"2018","3,352,556",
"2017","3,104,286",
"2016","2,830,081",
"2015","2,629,167",
"2014","2,219,687",
"2013","2,061,765",
"2012","2,142,020",
"2011","1,801,988",
"2010","1,673,801",
"2009","1,450,839",
"2008","1,644,864",
"2007","1,534,438",
"2006","1,497,739",
"2005","1,202,825",
"2004","1,183,470",
"2003","1,029,811",
