"Periodo","Valor_agregado_total_de_la_manufactura",
"2024","6,745,116",
"2023","6,521,505",
"2022","6,343,990",
"2021","5,561,092",
"2020","4,861,737",
"2019","4,996,166",
"2018","4,881,116",
"2017","4,543,711",
"2016","4,124,518",
"2015","3,811,769",
"2014","3,306,298",
"2013","3,069,151",
"2012","3,107,481",
"2011","2,705,626",
"2010","2,491,668",
"2009","2,222,579",
"2008","2,349,609",
"2007","2,200,023",
"2006","2,112,714",
"2005","1,807,635",
"2004","1,742,921",
"2003","1,555,110",
