"Periodo","Proporción_del_valor_añadido_por_la_industria_de_tecnología_mediana_y_alta_en_el_valor_agregado_bruto",
"2024","67.682",
"2023","66.884",
"2022","67.02",
"2021","66.982",
"2020","66.543",
"2019","67.913",
"2018","68.684",
"2017","68.321",
"2016","68.617",
"2015","68.976",
"2014","67.132",
"2013","67.177",
"2012","68.931",
"2011","66.602",
"2010","67.177",
"2009","65.278",
"2008","70.006",
"2007","69.747",
"2006","70.892",
"2005","66.541",
"2004","67.901",
"2003","66.221",
