ind_1,ind_2,correlation,p_value,n_shared,nombre_1,nombre_2,ods_1,ods_2,cross_ods
1.1.1,11.1.1,0.8892857142857141,9.192974758842262e-06,15,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",11.1.1 Proporción de la población urbana que habita en viviendas precarias,1,11,True
1.1.1,12.2.2.A,-0.8424242424242423,0.002220031225916843,10,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",12.2.2.a Consumo material interno en términos absolutos,1,12,True
1.1.1,12.2.2.B,-0.7333333333333332,0.015800596250571577,10,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",12.2.2.b Consumo material interno per cápita,1,12,True
1.1.1,13N.2.1,0.9176470588235294,5.528654958744469e-07,16,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",13n.2.1 Intensidad de carbono por la quema de combustibles fósiles,1,13,True
1.1.1,13R.3.1,-0.8999999999999999,4.871970948735605e-06,15,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)","13r.3.1 Emisiones de gases de efecto invernadero, desglosadas por sector (actividad económica)",1,13,True
1.1.1,14.5.1,-0.9372820061729449,2.574122503758166e-07,15,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",14.5.1 Cobertura de las zonas protegidas en relación con las zonas marinas,1,14,True
1.1.1,14.A.1,0.8571428571428573,0.013697326615325618,7,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",14.a.1 Proporción del Presupuesto Federal para Investigación Científica y Desarrollo Experimental asignado a la Secretaría de Marina,1,14,True
1.1.1,14R.5.1,-0.9372820061729449,2.574122503758166e-07,15,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",14r.5.1 Cobertura de las zonas protegidas en relación con las zonas marinas,1,14,True
1.1.1,15.1.2,-0.9382307787005556,2.3367158830784654e-07,15,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)","15.1.2 Proporción de lugares importantes para la diversidad biológica terrestre y del agua dulce que forman parte de zonas protegidas, desglosada por tipo de ecosistema",1,15,True
1.1.1,15.4.1,0.7373778442803387,0.006204815530341061,12,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",15.4.1 Lugares importantes para la biodiversidad de las montañas incluidos en zonas protegidas,1,15,True
