periodo,valor,indicator_id,title,ods_number,unit
2020,5.86071423375204,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2018,5.69459674371915,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2016,5.80182102834475,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2014,6.44992817392299,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2012,6.5437330986196,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2010,7.93632548539157,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2008,7.88517539010122,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2006,6.63677998339761,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2005,9.36470619386236,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2004,8.52633661851609,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2002,8.61427155524919,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2000,12.5789102224617,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
1998,17.5332771796285,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
1996,18.2900127880672,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
1994,12.4881183720923,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
1992,10.5817702294042,1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje
2022,43.5294297649,1.2.1(1),"1.2.1(1) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2016 - 2022)",1,Porcentaje
2020,52.7734610104,1.2.1(1),"1.2.1(1) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2016 - 2022)",1,Porcentaje
2018,49.8843391449,1.2.1(1),"1.2.1(1) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2016 - 2022)",1,Porcentaje
2016,50.7833219263,1.2.1(1),"1.2.1(1) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2016 - 2022)",1,Porcentaje
2014,53.2382785405,1.2.1(2),"1.2.1(2) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2008 - 2014) [Histórico]",1,Porcentaje
2012,51.6413926155,1.2.1(2),"1.2.1(2) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2008 - 2014) [Histórico]",1,Porcentaje
