indicator_id,title,ods_number,unit,loaded,n_observations
1.1.1.A,"1.1.1.a Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), por desglose geográfico",1,Porcentaje,False,0
1.1.1,"1.1.1 Proporción de la población que vive por debajo del umbral internacional de la pobreza (1.90 dólares diarios), desglosada por sexo, edad, situación laboral y ubicación geográfica (urbano y rural)",1,Porcentaje,True,16
1.2.1(1),"1.2.1(1) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2016 - 2022)",1,Porcentaje,True,4
1.2.1(2),"1.2.1(2) Proporción de la población que vive por debajo del umbral nacional de la pobreza, desglosada por sexo y edad (2008 - 2014) [Histórico]",1,Porcentaje,True,4
1.2.1.A,"1.2.1.a Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico (Entidad federativa)",1,Porcentaje,True,4
1.2.1.B,"1.2.1.b Proporción de la población que vive por debajo del umbral nacional de la pobreza, por desglose geográfico (Municipio o demarcación territorial)",1,Porcentaje,False,0
1.2.2(1),"1.2.2(1) Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, de acuerdo con las definiciones nacionales (2016 - 2022)",1,Porcentaje,True,4
1.2.2(2),"1.2.2(2) Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, de acuerdo con las definiciones nacionales (2008 - 2014) [Histórico]",1,Porcentaje,True,4
1.2.2.A,"1.2.2.a Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico  (Entidad federativa)",1,Porcentaje,False,0
1.2.2.B,"1.2.2.b Proporción de hombres, mujeres y niños de todas las edades que viven en la pobreza en todas sus dimensiones, con arreglo a las definiciones nacionales, por desglose geográfico (Municipio o demarcación territorial)",1,Porcentaje,False,0
1.3.1.A,"1.3.1.a Proporción de la población cubierta por sistemas o niveles mínimos de protección social, por desglose geográfico",1,Porcentaje,False,0
1.3.1.,"1.3.1. Proporción de la población cubierta por sistemas o niveles mínimos de protección social, desglosada por sexo y grupos edad",1,Porcentaje,True,4
1.4.1,1.4.1 Proporción de la población que vive en hogares con acceso a los servicios básicos,1,Porcentaje,True,5
1.4.2,"1.4.2 Proporción del total de la población adulta con derechos seguros de tenencia de la tierra que posee documentación reconocida legalmente al respecto, desglosada por sexo y tipo de tenencia",1,Porcentaje,True,1
1.5.1,"1.5.1 Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes",1,Tasa por cada 100 mil habitantes,True,25
1.5.4,1.5.4 Proporción de gobiernos locales que adoptan y aplican estrategias locales de reducción del riesgo de desastres en consonancia con las estrategias nacionales de reducción del riesgo de desastres,1,Porcentaje,True,3
1.A.1,1.a.1 Total de las subvenciones de asistencia oficial para el desarrollo de todos los donantes que se centran en la reducción de la pobreza como porcentaje del ingreso nacional bruto del país receptor,1,Porcentaje,True,4
1.A.2,"1.a.2 Proporción del gasto público total en servicios esenciales (educación, salud y protección social)",1,Porcentaje,True,15
10.1.1.A,"10.1.1.a Tasas de crecimiento per cápita de los gastos o ingresos de los hogares del 40% más pobre de la población y la población total, por desglose geográfico (Entidad federativa)",10,Porcentaje,False,0
10.1.1.,"10.1.1. Tasas de crecimiento per cápita de los gastos o ingresos de los hogares del 40% más pobre de la población y la población total , desglosada por sexo, edad, ámbito de residencia, pertenencia étnica y personas con discapacidad",10,Porcentaje,True,3
10.2.1A,"10.2.1a Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, desglosada por sexo, edad y personas con discapacidad, por desglose geográfico (Entidad federativa)",10,Porcentaje,False,0
10.2.1,"10.2.1 Proporción de personas que viven por debajo del 50% de la mediana de los ingresos, desglosada por sexo, edad y personas con discapacidad",10,Porcentaje,True,4
10.3.1.,10.3.1. Proporción de la población que declara haberse sentido personalmente discriminada o acosada en los últimos 12 meses por motivos de discriminación prohibidos por el derecho internacional de los derechos humanos,10,Porcentaje,True,2
10.4.1,10.4.1 Proporción laboral del PIB que comprende los salarios y las transferencias de protección social,10,Porcentaje,True,22
10N.1.1,10n.1.1 Crecimiento del ingreso corriente de los hogares por deciles,10,Crecimiento del ingreso corriente promedio de los hogares,True,4
10N.2.1,10n.2.1 Porcentaje que representa el ingreso de los dos deciles más bajos sobre los dos deciles más altos,10,Porcentaje,True,5
10N.3.1,"10n.3.1 Porcentaje de la población de 18 años y más, bisexual, gay o lesbiana u otra orientación  que declaró la negación de sus derechos en los últimos cinco años",10,Porcentaje,True,2
10R.4.1A,10r.4.1a Índice de Gini con transferencias,10,Índice,True,5
10R.4.1B,10r.4.1b Índice de Gini sin transferencias,10,Índice,True,5
11.1.1,11.1.1 Proporción de la población urbana que habita en viviendas precarias,11,Porcentaje,True,15
11.2.1,"11.2.1 Proporción de la población que tiene fácil acceso al transporte público, desglosada por sexo, edad y personas con discapacidad",11,Porcentaje,True,1
11.3.1,11.3.1 Relación entre la tasa de consumo de tierras y la tasa de crecimiento de la población,11,Ratio,True,1
11.3.2,11.3.2 Proporción de ciudades con una estructura de participación directa de la sociedad civil en la planificación y la gestión urbanas que opera regular y democráticamente,11,Porcentaje,True,5
11.4.1,11.4.1 Total de gasto público per cápita en la protección ambiental,11,Pesos corrientes,True,19
11.5.1,"11.5.1 Número de personas muertas, desaparecidas y afectadas directamente atribuido a desastres por cada 100 000 habitantes",11,Tasa por cada 100 mil habitantes.,True,23
11.6.1.A,11.6.1.a Porcentaje de residuos sólidos urbanos recolectados con disposición final adecuada,11,Porcentaje,True,6
