ods_pair,n_correlaciones,corr_promedio,max_|corr|,ODS_A,ODS_B
"(3, 8)",177,-0.06789486514494286,1.0,ODS 3 (Salud),ODS 8 (Trabajo)
"(4, 8)",168,0.11433950804728447,1.0,ODS 4 (Educación),ODS 8 (Trabajo)
"(3, 4)",154,-0.051303722887268734,1.0,ODS 3 (Salud),ODS 4 (Educación)
"(3, 3)",139,0.008933677187348485,1.0,ODS 3 (Salud),ODS 3 (Salud)
"(4, 16)",133,0.2952946802570863,0.9999999999999999,ODS 4 (Educación),ODS 16 (Paz)
"(3, 16)",110,-0.12467179734936253,0.9999999999999999,ODS 3 (Salud),ODS 16 (Paz)
"(8, 16)",110,0.2409152543695286,0.9999999999999999,ODS 8 (Trabajo),ODS 16 (Paz)
"(3, 6)",97,-0.005101473672249674,1.0,ODS 3 (Salud),ODS 6 (Agua)
"(6, 8)",88,-0.07522230294957567,0.9999999999999999,ODS 6 (Agua),ODS 8 (Trabajo)
"(8, 8)",84,0.15097932588353813,1.0,ODS 8 (Trabajo),ODS 8 (Trabajo)
"(4, 6)",75,0.03942521182521186,0.9999999999999999,ODS 4 (Educación),ODS 6 (Agua)
"(4, 4)",72,0.32116165424988957,1.0,ODS 4 (Educación),ODS 4 (Educación)
"(4, 9)",69,0.06509734227125533,1.0,ODS 4 (Educación),ODS 9 (Industria)
"(8, 9)",68,-0.20212222836343607,1.0,ODS 8 (Trabajo),ODS 9 (Industria)
"(3, 9)",63,0.06692248615583858,1.0,ODS 3 (Salud),ODS 9 (Industria)
"(16, 16)",62,0.06799329702555511,1.0,ODS 16 (Paz),ODS 16 (Paz)
"(3, 15)",59,-0.18020183040296714,0.9979957668305968,ODS 3 (Salud),ODS 15 (Ecosistemas)
"(3, 17)",50,-0.09422277333400082,1.0,ODS 3 (Salud),ODS 17 (Alianzas)
"(3, 12)",48,-0.2732964098971674,0.9894736842105262,ODS 3 (Salud),ODS 12 (Producción)
"(9, 16)",48,-0.14770524614274613,1.0,ODS 9 (Industria),ODS 16 (Paz)
